"","FighterID","Fighter","Result","Opponent","Event","Method","Round","Time","Date"
"51115",321,"John Renken","loss","Frank Amalfitano","HOOKnSHOOT - Absolute Fighting Championship 1Apr / 05 / 1997","Submission (Armlock)N/A","1","5:26",1997-04-05
"5289",321,"John Renken","win","Mark Nelson","HOOKnSHOOT - Absolute Fighting Championship 1Apr / 05 / 1997","Submission (Armbar)N/A","1","1:03",1997-04-05
"2806",322,"Takayuki Okada","draw","Memo Diaz","Deep - 9th ImpactMay / 05 / 2003","DrawKeiji Shiozaki","2","5:00",2003-05-05
"3484",322,"Takayuki Okada","win","Jong Wang Kim","Pride FC - The Best, Vol. 3Oct / 20 / 2002","TKO (Broken Hand)N/A","1","0:24",2002-10-20
"4377",322,"Takayuki Okada","win","Tomohiko Hashimoto","Pride FC - The Best, Vol. 2Jul / 20 / 2002","KO (Punch)N/A","1","2:10",2002-07-20
"5290",322,"Takayuki Okada","win","Soichi Nishida","Pride FC - The Best, Vol. 1Feb / 22 / 2002","TKO (Punches)N/A","1","2:00",2002-02-22
"6260",322,"Takayuki Okada","loss","Zane Frazier","KOTC 10 - Critical MassAug / 04 / 2001","Decision (Unanimous)N/A","1","7:00",2001-08-04
"7242",322,"Takayuki Okada","draw","Yoshinori Nishi","S - Samurai 2000Oct / 22 / 2000","DrawN/A","0","0:00",2000-10-22
"8228",322,"Takayuki Okada","loss","Ricco Rodriguez","Pride 10 - Return of the WarriorsAug / 27 / 2000","Submission (Smother Choke)N/A","1","6:04",2000-08-27
"9204",322,"Takayuki Okada","loss","Igor Borisov","Ultimate Boxing - Pride vs. SeikendoJun / 11 / 2000","TKO (Punches)N/A","1","7:07",2000-06-11
"2807",323,"Gilbert Yvel","win","Siala-Mou Siliga","Road FC 47 - 2018 Openweight Grand Prix: Opening RoundMay / 12 / 2018","Technical Submission (Armbar)Tae Uk Lim","1","3:43",2018-05-12
"3485",323,"Gilbert Yvel","win","Ricco Rodriguez","WFCA 32 - Grozny BattleNov / 19 / 2016","TKO (Leg Kicks)Ashot Ashugyan","1","1:00",2016-11-19
"4378",323,"Gilbert Yvel","win","Houston Alexander","RFA 2 - Yvel vs. AlexanderMar / 30 / 2012","KO (Punch)Herb Dean","1","3:59",2012-03-30
"5291",323,"Gilbert Yvel","win","Damian Dantibo","RFA 1 - Elliott vs. PulverDec / 16 / 2011","TKO (Submission to Punches)N/A","1","3:12",2011-12-16
"6261",323,"Gilbert Yvel","loss","Jon Madsen","UFC 121 - Lesnar vs. VelasquezOct / 23 / 2010","TKO (Punches)John McCarthy","1","1:48",2010-10-23
"7243",323,"Gilbert Yvel","loss","Ben Rothwell","UFC 115 - Liddell vs. FranklinJun / 12 / 2010","Decision (Unanimous)Yves Lavigne","3","5:00",2010-06-12
"8229",323,"Gilbert Yvel","loss","Junior dos Santos","UFC 108 - Evans vs. SilvaJan / 02 / 2010","TKO (Punches)Herb Dean","1","2:07",2010-01-02
"9205",323,"Gilbert Yvel","win","Pedro Rizzo","FFI - Ultimate ChaosJun / 27 / 2009","KO (Punches)N/A","1","2:10",2009-06-27
"10196",323,"Gilbert Yvel","loss","Josh Barnett","Affliction - Day of ReckoningJan / 24 / 2009","TKO (Submission to Punches)Herb Dean","3","3:05",2009-01-24
"11188",323,"Gilbert Yvel","win","Alexander Timonov","M-1 Challenge 9 - RussiaNov / 21 / 2008","TKO (Punches)Marcel Homeijer","1","0:22",2008-11-21
"12176",323,"Gilbert Yvel","win","Sergey Shemetov","KOE - Tough Is Not EnoughOct / 05 / 2008","Submission (Toe Hold)N/A","1","0:53",2008-10-05
"13160",323,"Gilbert Yvel","win","Michal Kita","GFN - Gentlemen Fight NightMay / 24 / 2008","KO (Punch)N/A","2","0:02",2008-05-24
"14156",323,"Gilbert Yvel","win","Hakim Goram","K-1 - World GP in AmsterdamJun / 23 / 2007","TKON/A","1","0:00",2007-06-23
"15146",323,"Gilbert Yvel","win","Akira Shoji","Pride 34 - KamikazeApr / 08 / 2007","TKO (Punches)N/A","1","3:04",2007-04-08
"16144",323,"Gilbert Yvel","win","Rodney Glunder","2H2H - Pride & HonorNov / 12 / 2006","KO (Punches)N/A","1","1:38",2006-11-12
"17137",323,"Gilbert Yvel","win","Fabiano Scherner","Cage Rage 17 - Ultimate ChallengeJul / 01 / 2006","TKO (Punches)N/A","1","1:30",2006-07-01
"18135",323,"Gilbert Yvel","loss","Roman Zentsov","Pride FC - Total Elimination AbsoluteMay / 05 / 2006","KO (Punch)N/A","1","4:55",2006-05-05
"19133",323,"Gilbert Yvel","win","Valentijn Overeem","It's Showtime - Amsterdam ArenaJun / 12 / 2005","Submission (Armbar)N/A","1","4:30",2005-06-12
"20121",323,"Gilbert Yvel","loss","Ikuhisa Minowa","Pride - Bushido 6Apr / 03 / 2005","Submission (Toe Hold)N/A","1","1:10",2005-04-03
"21184",323,"Gilbert Yvel","loss","Atte Backman","FF 12 - Fight Festival 12Nov / 13 / 2004","Disqualification (Yvel Attacked Referee)N/A","1","0:35",2004-11-13
"22168",323,"Gilbert Yvel","win","Cheick Kongo","It's Showtime - Amsterdam ArenaMay / 20 / 2004","TKO (Punches)N/A","2","4:42",2004-05-20
"23150",323,"Gilbert Yvel","draw","Daniel Tabera","M-1 MFC - Russia vs. The World 7Dec / 05 / 2003","DrawN/A","1","10:00",2003-12-05
"24136",323,"Gilbert Yvel","loss","Jeremy Horn","Pride 21 - DemolitionJun / 23 / 2002","Decision (Unanimous)N/A","3","5:00",2002-06-23
"25118",323,"Gilbert Yvel","win","Bob Schrijber","2H2H 4 - Simply the Best 4Mar / 17 / 2002","TKO (Doctor Stoppage)N/A","0","N/A",2002-03-17
"26108",323,"Gilbert Yvel","win","Ibragim Magomedov","M-1 MFC - Russia vs. the World 2Nov / 11 / 2001","Submission (Rear-Naked Choke)Apy Echteld","1","2:45",2001-11-11
"27102",323,"Gilbert Yvel","loss","Don Frye","Pride 16 - Beasts From The EastSep / 24 / 2001","Disqualification (Eye Gouging)N/A","1","7:27",2001-09-24
"2887",323,"Gilbert Yvel","loss","Igor Vovchanchyn","Pride 14 - Clash of the TitansMay / 27 / 2001","Submission (Rear-Naked Choke)N/A","1","1:52",2001-05-27
"2984",323,"Gilbert Yvel","win","Carlos Barreto","2H2H 2 - Simply The BestMar / 18 / 2001","KO (Flying Knee)N/A","1","2:20",2001-03-18
"3079",323,"Gilbert Yvel","loss","Kazuyuki Fujita","Pride 12 - Cold FuryDec / 23 / 2000","Decision (Unanimous)N/A","2","5:00",2000-12-23
"31151",323,"Gilbert Yvel","NC","Wanderlei Silva","Pride 11 - Battle of the Rising SunOct / 31 / 2000","No Contest (Yvel Kicked in Groin)N/A","1","0:21",2000-10-31
"32132",323,"Gilbert Yvel","win","Gary Goodridge","Pride 10 - Return of the WarriorsAug / 27 / 2000","KO (Head Kick)N/A","1","0:28",2000-08-27
"33108",323,"Gilbert Yvel","loss","Vitor Belfort","Pride 9 - New BloodJun / 04 / 2000","Decision (Unanimous)Yuji Shimada","2","10:00",2000-06-04
"3486",323,"Gilbert Yvel","win","Kiyoshi Tamura","Rings - Millennium Combine 1Apr / 20 / 2000","TKO (Punches)N/A","1","13:13",2000-04-20
"3560",323,"Gilbert Yvel","win","Brian Dunn","2H2H 1 - 2 Hot 2 HandleMar / 05 / 2000","TKO (Punches)N/A","1","0:21",2000-03-05
"3659",323,"Gilbert Yvel","loss","Dan Henderson","Rings - King of Kings 1999 FinalFeb / 26 / 2000","Decision (Unanimous)N/A","2","5:00",2000-02-26
"3756",323,"Gilbert Yvel","win","Joop Kasteel","Rings Holland - There Can Only Be One ChampionFeb / 06 / 2000","KO (Palm Strikes)N/A","1","4:16",2000-02-06
"3854",323,"Gilbert Yvel","win","Tsuyoshi Kosaka","Rings - King of Kings 1999 Block BDec / 22 / 1999","TKO (Cut)N/A","1","1:17",1999-12-22
"3952",323,"Gilbert Yvel","win","Tariel Bitsadze","Rings - King of Kings 1999 Block BDec / 22 / 1999","Submission (Armbar)N/A","1","2:18",1999-12-22
"4046",323,"Gilbert Yvel","win","Dennis Reed","AAC 2 - Amsterdam Absolute Championship 2Nov / 27 / 1999","KO (Flying Knee)N/A","1","1:43",1999-11-27
"41130",323,"Gilbert Yvel","win","Fabio Piemonte","WVC 9 - World Vale Tudo Championship 9Sep / 27 / 1999","TKO (Punches)N/A","1","2:28",1999-09-27
"42109",323,"Gilbert Yvel","loss","Tsuyoshi Kosaka","Rings - Rise 5thAug / 19 / 1999","Technical Decision (Points)Ryogaku Wada","1","8:17",1999-08-19
"4379",323,"Gilbert Yvel","win","Semmy Schilt","Rings Holland - The Kings of the Magic RingJun / 20 / 1999","KO (Punches)N/A","2","4:45",1999-06-20
"4448",323,"Gilbert Yvel","win","Tsuyoshi Kosaka","Rings - Rise 2ndApr / 23 / 1999","TKO (Doctor Stoppage)Ryogaku Wada","1","14:58",1999-04-23
"4547",323,"Gilbert Yvel","win","Todd Medina","WVC - World Vale Tudo ChampionshipMar / 20 / 1999","KO (Knee)N/A","1","0:10",1999-03-20
"4644",323,"Gilbert Yvel","win","Big Mo T","Rings Holland - Judgement DayFeb / 07 / 1999","KO (Flying Knee)N/A","1","1:59",1999-02-07
"4741",323,"Gilbert Yvel","win","Lee Hasdell","Rings Holland - The Thialf ExplosionOct / 24 / 1998","TKO (Cut)N/A","0","0:00",1998-10-24
"4839",323,"Gilbert Yvel","win","Valentijn Overeem","Rings Holland - Who's the BossJun / 07 / 1998","TKO (Shoulder Injury)N/A","1","0:38",1998-06-07
"4936",323,"Gilbert Yvel","loss","Karimula Barkalaev","IAFC - Pankration European Championship 1998May / 23 / 1998","Disqualification (Biting)N/A","1","4:49",1998-05-23
"5031",323,"Gilbert Yvel","loss","Bob Schrijber","IMA - KO Power TournamentApr / 12 / 1998","KO (Punches and Kick)N/A","1","4:15",1998-04-12
"51116",323,"Gilbert Yvel","win","Algirdas Darulis","IMA - KO Power TournamentApr / 12 / 1998","TKO (Knockdowns)N/A","1","3:02",1998-04-12
"5292",323,"Gilbert Yvel","win","Bob Schrijber","Rings Holland - The King of RingsFeb / 08 / 1998","Submission (Achilles Lock)N/A","2","1:12",1998-02-08
"5331",323,"Gilbert Yvel","win","Bas Jussen","RDFF 2 - Red Devil Free Fight 2Dec / 07 / 1997","KON/A","0","0:00",1997-12-07
"5429",323,"Gilbert Yvel","win","Oleg Tsygolnik","M-1 MFC - World Championship 1997Nov / 01 / 1997","KO (Punch)N/A","1","1:41",1997-11-01
"5529",323,"Gilbert Yvel","win","Sergei Tunic","M-1 MFC - World Championship 1997Nov / 01 / 1997","KO (Punches)N/A","1","1:16",1997-11-01
"5625",323,"Gilbert Yvel","win","Pedro Palm","Gym Alkmaar - Fight GalaOct / 05 / 1997","TKON/A","0","0:00",1997-10-05
"5725",323,"Gilbert Yvel","win","Vyacheslav Kiselev","RDFF 1 - Red Devil Free Fight 1Sep / 27 / 1997","TKO (Knees)N/A","1","0:51",1997-09-27
"5825",323,"Gilbert Yvel","win","Leon van Dijk","Rings Holland - Utrecht at WarJun / 29 / 1997","KO (Knee)N/A","1","2:05",1997-06-29
"5924",323,"Gilbert Yvel","win","Rob van Leeuwen","Rings Holland - The Final ChallengeFeb / 02 / 1997","TKO (Corner Stoppage)N/A","1","4:06",1997-02-02
"2808",324,"Igor Borisov","loss","Mark Kerr","Pride 10 - Return of the WarriorsAug / 27 / 2000","Submission (Neck Crank)N/A","1","2:06",2000-08-27
"3487",324,"Igor Borisov","win","Takayuki Okada","Ultimate Boxing - Pride vs. SeikendoJun / 11 / 2000","TKO (Punches)N/A","1","7:07",2000-06-11
"2809",325,"Ryan Gracie","win","Yoji Anjo","Pride - Shockwave 2004Dec / 31 / 2004","Submission (Armbar)N/A","1","8:33",2004-12-31
"3488",325,"Ryan Gracie","win","Ikuhisa Minowa","Pride - Bushido 3May / 23 / 2004","Decision (Split)N/A","2","5:00",2004-05-23
"4380",325,"Ryan Gracie","win","Kazuhiro Hamanaka","Pride - Bushido 1Oct / 05 / 2003","TKO (Soccer Kicks)N/A","1","7:37",2003-10-05
"5293",325,"Ryan Gracie","win","Shungo Oyama","Pride 22 - Beasts From The East 2Sep / 29 / 2002","Technical Submission (Armbar)N/A","1","1:37",2002-09-29
"6262",325,"Ryan Gracie","loss","Tokimitsu Ishizawa","Pride 15 - Raging RumbleJul / 29 / 2001","TKO (Injury)N/A","1","4:51",2001-07-29
"7244",325,"Ryan Gracie","loss","Kazushi Sakuraba","Pride 12 - Cold FuryDec / 23 / 2000","Decision (Unanimous)N/A","1","10:00",2000-12-23
"8230",325,"Ryan Gracie","win","Tokimitsu Ishizawa","Pride 10 - Return of the WarriorsAug / 27 / 2000","KO (Punches)N/A","1","2:16",2000-08-27
"2888",326,"Yoshiaki Yatsu","loss","Gary Goodridge","Pride 16 - Beasts From The EastSep / 24 / 2001","TKO (Corner Stoppage)N/A","1","3:03",2001-09-24
"3489",326,"Yoshiaki Yatsu","loss","Gary Goodridge","Pride 11 - Battle of the Rising SunOct / 31 / 2000","TKO (Punches)N/A","1","8:58",2000-10-31
"2889",327,"Herman Renting","loss","Piet van Gammeren","Rings Holland - Heroes Live ForeverJan / 28 / 2001","Decision (Unanimous)N/A","2","5:00",2001-01-28
"3490",327,"Herman Renting","loss","Akira Shoji","Pride 11 - Battle of the Rising SunOct / 31 / 2000","Submission (Armbar)N/A","1","3:48",2000-10-31
"4381",327,"Herman Renting","win","David Levicki","Rings Holland - Free FightFeb / 19 / 1995","Decision (Unanimous)N/A","1","10:00",1995-02-19
"5294",327,"Herman Renting","loss","David Khakhaleishvili","Rings - Budokan Hall 1995Jan / 25 / 1995","N/AN/A","0","0:00",1995-01-25
"2890",328,"Shannon Ritch","loss","Glenn Sparv","Rebel FC 10  - A New Order Jan / 11 / 2020","Submission (Leglock)N/A","1","1:31",2020-01-11
"3491",328,"Shannon Ritch","loss","Simon Carson","Battlefield FC 2 - Battlefield Fighting Championship 2Jul / 27 / 2019","TKO (Knees and Punches)N/A","1","3:34",2019-07-27
"4382",328,"Shannon Ritch","win","Manuel Chacon","Imperio MMA - Rocky Point Beach BashJul / 20 / 2019","TKO (Punches)N/A","1","0:36",2019-07-20
"5295",328,"Shannon Ritch","loss","Travis Fulton","M-1 Global - Road to M-1: USA 2Apr / 04 / 2019","Submission (Forearm Choke)Mike Beltran","2","0:41",2019-04-04
"6263",328,"Shannon Ritch","win","Eriko Vasquez","Imperio MMA 8 - Honor and GloryDec / 08 / 2017","Submission (Heel Hook)Miguel Fox","2","0:39",2017-12-08
"7245",328,"Shannon Ritch","loss","Wenbo Liu","Rebel FC 6 - China vs. The WorldSep / 02 / 2017","TKON/A","1","4:18",2017-09-02
"8231",328,"Shannon Ritch","win","Omar Jimenez","Imperio MMA - Imperio MMA 7Jul / 09 / 2017","KO (Head Kick)Sergio Garcia","2","3:15",2017-07-09
"9206",328,"Shannon Ritch","loss","Samson Guerrero","WFF - World Fighting Federation 34Jun / 03 / 2017","TKO (Submission to Punches)N/A","1","3:34",2017-06-03
"10197",328,"Shannon Ritch","loss","Josh Appelt","Gladiator Challenge - ContendersMay / 20 / 2017","TKO (Punches)Raul Porrata","1","1:08",2017-05-20
"11189",328,"Shannon Ritch","loss","Vitaly Shemetov","LKC - The Legend King Championship 2Apr / 29 / 2017","KOTiefeng Li","1","2:53",2017-04-29
"12177",328,"Shannon Ritch","loss","Tony Lopez","Combate Americas - Road to the Championship 4Apr / 25 / 2016","Submission (Guillotine Choke)Herb Dean","1","1:45",2016-04-25
"13161",328,"Shannon Ritch","win","Alejandro Baez","Imperio MMA - Spring Break BrawlMar / 26 / 2016","Submission (Heel Hook)Marc De La Cruz","1","4:20",2016-03-26
"14157",328,"Shannon Ritch","win","Mavrick Harvey","UR Fight - UR Fight 1Mar / 20 / 2016","Submission (Rear-Naked Choke)N/A","1","1:32",2016-03-20
"15147",328,"Shannon Ritch","loss","Diego Herzog","IFC - Caged CombatSep / 26 / 2015","TKO (Punches)N/A","1","0:44",2015-09-26
"16145",328,"Shannon Ritch","loss","Hikaru Sato","Pancrase - 269Aug / 09 / 2015","Submission (Armbar)Ryogaku Wada","1","1:36",2015-08-09
"17138",328,"Shannon Ritch","loss","Shonie Carter","Mosley Showdown / Swarm Entertainment - Super Brawl 1Jan / 30 / 2015","TKO (Injury)N/A","1","5:00",2015-01-30
"18136",328,"Shannon Ritch","win","Roman Sierra","IMMA - Imperio MMAJun / 15 / 2013","Submission (Rear-Naked Choke)N/A","1","1:42",2013-06-15
"19134",328,"Shannon Ritch","win","Darren McNamee","IFC MMA - Revolution: UK vs. USAMar / 09 / 2013","Submission (Can Opener)N/A","1","1:08",2013-03-09
"20122",328,"Shannon Ritch","loss","Leroy Fornof","RITC - Rage in the Cage 164Nov / 16 / 2012","TKO (Punches)N/A","1","2:55",2012-11-16
"21185",328,"Shannon Ritch","win","Duncan Wilson","FFL 2 - OriginsOct / 19 / 2012","Submission (Rear-Naked Choke)N/A","1","0:20",2012-10-19
"22169",328,"Shannon Ritch","win","Ivan Guillen","MF  - Mexico Fighter 4Jul / 14 / 2012","Submission (Rear-Naked Choke)Cervando Licano","1","0:59",2012-07-14
"23151",328,"Shannon Ritch","win","Rudy Aguilar","RITC - Rage in the Cage 160Jun / 22 / 2012","TKO (Punches)N/A","1","1:04",2012-06-22
"24137",328,"Shannon Ritch","loss","Joe Riggs","Duel for Domination - MMA ExtravaganzaNov / 26 / 2011","TKO (Punches)N/A","1","0:56",2011-11-26
"25119",328,"Shannon Ritch","loss","Joe Cronin","RITC - Rage in the Cage 156Oct / 22 / 2011","TKO (Punches)N/A","2","1:54",2011-10-22
"26109",328,"Shannon Ritch","win","Scott Guenther","RITC  - Rage in the Cage 148Jan / 29 / 2011","KO (Punch)N/A","1","0:20",2011-01-29
"27103",328,"Shannon Ritch","win","Chuy Torres","Combate Extremo - Ritch vs. TorresDec / 11 / 2010","Submission (Heel Hook)N/A","1","0:00",2010-12-11
"2892",328,"Shannon Ritch","win","Richard Frye","RITC - Rage in the Cage 147Dec / 04 / 2010","Submission (Armbar)N/A","1","1:45",2010-12-04
"2985",328,"Shannon Ritch","loss","Cody Krahn","KOTC - Forty EightNov / 21 / 2010","TKO (Groin Injury)John Braak","1","2:35",2010-11-21
"3080",328,"Shannon Ritch","loss","Ray Elbe","MC - Martial Combat 11Oct / 15 / 2010","Technical Submission (Triangle Choke)N/A","1","0:57",2010-10-15
"31152",328,"Shannon Ritch","loss","Chris Kizuik","KOTC - SentinelSep / 18 / 2010","TKO (Punches)Tom Collins","1","2:52",2010-09-18
"32133",328,"Shannon Ritch","loss","Mike Moritz","RITC 143 - Rage in the Cage 143Jul / 31 / 2010","TKO (Submission to Punches)N/A","1","2:38",2010-07-31
"33109",328,"Shannon Ritch","loss","Garett Davis","KOTC - CombustionMay / 28 / 2010","TKO (Punches)Gerard Forde","1","3:17",2010-05-28
"3492",328,"Shannon Ritch","loss","Bill Mahood","KOTC - FearlessApr / 24 / 2010","TKO (Submission to Punches)N/A","1","1:00",2010-04-24
"3561",328,"Shannon Ritch","loss","Antonio Zamora","NMCF - New Mexico Cage FightingApr / 17 / 2010","Submission (Rear-Naked Choke)N/A","1","1:17",2010-04-17
"3660",328,"Shannon Ritch","loss","Jarid Bussemakers","KOTC - Thunderstruck 2Mar / 18 / 2010","TKO (Punches)N/A","1","2:09",2010-03-18
"3757",328,"Shannon Ritch","win","Elmer Waterhen","KOTC - NailbiterJan / 22 / 2010","Submission (Toe Hold)Vern Gorman","1","2:37",2010-01-22
"3855",328,"Shannon Ritch","win","Marcus Gaines","NCF - National Cage FightingOct / 09 / 2009","Submission (Armbar)N/A","1","0:43",2009-10-09
"3953",328,"Shannon Ritch","loss","Jose Landi-Jons","KOTC - Capital ExcaliburJul / 18 / 2009","TKO (Punches)Vern Gorman","1","1:52",2009-07-18
"4047",328,"Shannon Ritch","loss","Joey Rivera","KOTC - LegendsJun / 06 / 2009","TKO (Injury)N/A","1","1:17",2009-06-06
"41131",328,"Shannon Ritch","loss","T.J. Waldburger","SF 4 - Shark Fights 4May / 02 / 2009","Submission (Armbar)N/A","1","1:37",2009-05-02
"42110",328,"Shannon Ritch","loss","Eric Davila","SF 3 - Shark Fights 3Mar / 14 / 2009","Submission (Arm-Triangle Choke)Kerry Hatley","1","1:15",2009-03-14
"4383",328,"Shannon Ritch","win","John Wood","SF 2 - Shark Fights 2Dec / 13 / 2008","KO (Head Kick)N/A","1","0:15",2008-12-13
"4449",328,"Shannon Ritch","win","John Wood","SF 1 - Shark Fights 1Oct / 24 / 2008","Submission (Heel Hook)N/A","1","0:47",2008-10-24
"4548",328,"Shannon Ritch","win","Danny Bennett","CS - CageSport MMAAug / 30 / 2008","Submission (Armbar)N/A","1","0:37",2008-08-30
"4645",328,"Shannon Ritch","win","Joe Vigil","Xp3 - The Proving GroundJul / 26 / 2008","Submission (Rear-Naked Choke)N/A","1","0:00",2008-07-26
"4742",328,"Shannon Ritch","loss","Todd Medina","Strike FC - Night of GladiatorsApr / 18 / 2008","Submission (Rear-Naked Choke)N/A","1","0:00",2008-04-18
"4840",328,"Shannon Ritch","win","Jasper Lockett","CCCF - Battle on the BorderMar / 29 / 2008","Submission (Triangle Choke)N/A","1","1:02",2008-03-29
"4937",328,"Shannon Ritch","NC","Brian Ebersole","FCP - Malice at Cow PalaceSep / 09 / 2006","No Contest (Overturned by CSAC)N/A","1","3:46",2006-09-09
"5032",328,"Shannon Ritch","win","Vincent Perez","Valor Fighting - 4th and BAug / 19 / 2006","Submission (Armbar)N/A","1","N/A",2006-08-19
"51117",328,"Shannon Ritch","win","Vincent Perez","War Zone - War ZoneJul / 07 / 2006","Submission (Armbar)N/A","1","1:47",2006-07-07
"5296",328,"Shannon Ritch","loss","Garett Davis","KOTC - WidowmakerJun / 18 / 2006","Submission (Rear-Naked Choke)N/A","1","N/A",2006-06-18
"5332",328,"Shannon Ritch","loss","Mavrick Harvey","Valor Fighting - Showdown At 4th & BApr / 29 / 2006","TKON/A","1","0:00",2006-04-29
"5430",328,"Shannon Ritch","loss","Andy Maccarone","KOTC - Heavy HittersApr / 02 / 2006","TKO (Submission to Punches)N/A","1","2:28",2006-04-02
"5530",328,"Shannon Ritch","loss","Sam Morgan","KOTC - The ReturnMar / 19 / 2006","Submission (Toe Hold)N/A","1","1:29",2006-03-19
"5626",328,"Shannon Ritch","loss","Brock Larson","EC 66 - Extreme Challenge 66Feb / 17 / 2006","TKO (Punches)N/A","1","1:16",2006-02-17
"5726",328,"Shannon Ritch","loss","Chris Brennan","RM 7 - Championship NightDec / 11 / 2005","Submission (Triangle Choke and Elbows)Larry Landless","1","N/A",2005-12-11
"5826",328,"Shannon Ritch","loss","Mavrick Harvey","KK - Kage KombatNov / 12 / 2005","TKO (Injury)N/A","1","N/A",2005-11-12
"5925",328,"Shannon Ritch","loss","Alex Schoenauer","SF 13 - Rocky Mountain SportfightOct / 15 / 2005","Submission (Guillotine Choke)Jerome Locke","1","0:29",2005-10-15
"6016",328,"Shannon Ritch","loss","John Alessio","KOTC 58 - Prime TimeAug / 05 / 2005","TKO (Punches)N/A","1","0:41",2005-08-05
"61104",328,"Shannon Ritch","loss","Kengo Ura","Valor Fighting - Medford MayhemJul / 16 / 2005","Submission (Heel Hook)N/A","1","1:04",2005-07-16
"6264",328,"Shannon Ritch","win","Robert Sarkozi","KOTC 56 - CalienteJul / 09 / 2005","Disqualification (Illegal Kick)N/A","1","1:53",2005-07-09
"6322",328,"Shannon Ritch","loss","Dan Severn","Extreme Wars - X-1Jul / 02 / 2005","Submission (Choke)N/A","2","1:05",2005-07-02
"6421",328,"Shannon Ritch","loss","Mario Stapel","KOTC 55 - Grudge MatchJun / 17 / 2005","Submission (Armbar)N/A","1","4:43",2005-06-17
"6520",328,"Shannon Ritch","loss","Dan Severn","NFC - Northern Fighting ChampionshipsJun / 03 / 2005","Submission (Keylock)N/A","2","0:00",2005-06-03
"6619",328,"Shannon Ritch","win","James Murdock","IEFC - International Extreme Fight ChallengeMay / 13 / 2005","Submission (Heel Hook)N/A","1","1:26",2005-05-13
"6719",328,"Shannon Ritch","loss","Rich Guerin","XFC - Dome of Destruction 2Apr / 30 / 2005","Submission (Verbal)N/A","1","2:32",2005-04-30
"6819",328,"Shannon Ritch","win","Ron Haskett","IEFC - International Extreme Fight ChallengeFeb / 21 / 2005","Submission (Choke)N/A","1","0:26",2005-02-21
"6918",328,"Shannon Ritch","win","Fletcher Sievers","PNRF - ExplosionJul / 16 / 2004","Submission (Armbar)N/A","1","3:22",2004-07-16
"7011",328,"Shannon Ritch","loss","Yuki Kondo","Pancrase - Brave 6Jun / 22 / 2004","Submission (Kneebar)Yoshinori Umeki","1","1:01",2004-06-22
"71100",328,"Shannon Ritch","win","Daryl Guthmiller","EC 58 - Extreme Challenge 58Jun / 11 / 2004","Technical Submission (Armbar)N/A","1","1:36",2004-06-11
"7246",328,"Shannon Ritch","win","Eddy Ellis","LOTC - Lords of the CageJun / 05 / 2004","Submission (Armbar)N/A","1","1:29",2004-06-05
"7319",328,"Shannon Ritch","loss","James Fanshier","GC 26 - FightFest 1Jun / 02 / 2004","Submission (Heel Hook)N/A","1","2:34",2004-06-02
"7419",328,"Shannon Ritch","win","Stacy Hakes","XCF 5 - EvolutionMay / 28 / 2004","KO (Kick)N/A","1","N/A",2004-05-28
"7518",328,"Shannon Ritch","win","Danny Anderson","EC 57 - Extreme Challenge 57May / 06 / 2004","Submission (Armbar)N/A","1","1:50",2004-05-06
"7618",328,"Shannon Ritch","win","Chris Peak","ETB - Enter the BeastMar / 06 / 2004","Submission (Heel Hook)N/A","1","0:37",2004-03-06
"7718",328,"Shannon Ritch","loss","Hector Ramirez","PFC - Pit Fighting ChampionshipFeb / 07 / 2004","KO (Punches)N/A","1",":34",2004-02-07
"7817",328,"Shannon Ritch","win","Ray Elbe","KOTR - King of the Rockies 1Jan / 03 / 2004","Submission (Heel Hook)Eric Heinz","1","1:10",2004-01-03
"7917",328,"Shannon Ritch","win","Reggie Cardiel","EP - XXXtreme ImpactDec / 28 / 2003","Submission (Armbar)N/A","1","1:23",2003-12-28
"8010",328,"Shannon Ritch","loss","Masanori Suda","SB 32 - SuperBrawl 32Dec / 05 / 2003","Submission (Triangle Choke)N/A","1","1:02",2003-12-05
"81100",328,"Shannon Ritch","loss","Kyle Brees","XCF 3 - Xtreme Cage Fighter 3Nov / 22 / 2003","Submission (Armbar)N/A","1","1:32",2003-11-22
"8232",328,"Shannon Ritch","win","Fernando Rodriguez","CFM - Ultimate Fighting MexicoNov / 15 / 2003","Submission (Armbar)N/A","2","N/A",2003-11-15
"8318",328,"Shannon Ritch","loss","Steve Headden","ISCF - TraumaOct / 25 / 2003","TKON/A","1","1:42",2003-10-25
"8417",328,"Shannon Ritch","loss","Ross Ebanez","ROTR 3 - Rumble on the Rock 3Aug / 09 / 2003","TKO (Injury)N/A","1","5:00",2003-08-09
"8517",328,"Shannon Ritch","win","Robert Maldonado","ECS - EvolutionJul / 19 / 2003","Submission (Armbar)N/A","1","0:25",2003-07-19
"8617",328,"Shannon Ritch","win","Matvey Baranov","FEFoMP - World Absolute FightingJun / 07 / 2003","TKODmitriy Sazonov","1","1:32",2003-06-07
"8717",328,"Shannon Ritch","win","Jafar Sultanaliev","FEFoMP - World Absolute FightingJun / 07 / 2003","Submission (Armbar)Dmitriy Sazonov","1","0:52",2003-06-07
"8817",328,"Shannon Ritch","loss","Miguel Gutierrez","CFM - Cage Fighting MonterreyMay / 23 / 2003","Submission (Heel Hook)N/A","1","0:00",2003-05-23
"8916",328,"Shannon Ritch","win","Ruben Escamilla","SAMP - Showdown at McGee ParkMay / 05 / 2003","Submission (Leglock)N/A","1","0:50",2003-05-05
